Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2024-10-28 06:45:57,"Back Bi Day",48m,"Pull Up (Assisted)",1,0.0,4.0,0,0.0,
2024-10-28 06:45:57,"Back Bi Day",48m,"Pull Up (Assisted)",2,40.0,8.0,0,0.0,
2024-10-28 06:45:57,"Back Bi Day",48m,"Pull Up (Assisted)",3,40.0,6.0,0,0.0,
2024-10-28 06:45:57,"Back Bi Day",48m,"Pull Up (Assisted)",4,40.0,5.0,0,0.0,
2024-10-28 06:45:57,"Back Bi Day",48m,"Incline Curl (Dumbbell)",1,15.0,10.0,0,0.0,
2024-10-28 06:45:57,"Back Bi Day",48m,"Incline Curl (Dumbbell)",2,15.0,10.0,0,0.0,
2024-10-28 06:45:57,"Back Bi Day",48m,"Incline Curl (Dumbbell)",3,15.0,8.0,0,0.0,
2024-10-28 06:45:57,"Back Bi Day",48m,"Lat Pulldown (Single Arm)",1,19.0,15.0,0,0.0,
2024-10-28 06:45:57,"Back Bi Day",48m,"Lat Pulldown (Single Arm)",2,28.5,15.0,0,0.0,
2024-10-28 06:45:57,"Back Bi Day",48m,"Lat Pulldown (Single Arm)",3,37.0,12.0,0,0.0,
2024-10-28 06:45:57,"Back Bi Day",48m,"Bent Over One Arm Row (Dumbbell)",1,60.0,10.0,0,0.0,
2024-10-28 06:45:57,"Back Bi Day",48m,"Bent Over One Arm Row (Dumbbell)",2,60.0,10.0,0,0.0,
2024-10-28 06:45:57,"Back Bi Day",48m,"Bent Over One Arm Row (Dumbbell)",3,60.0,8.0,0,0.0,
2024-10-28 06:45:57,"Back Bi Day",48m,"Bicep Curl (Cable)",1,15.5,10.0,0,0.0,
2024-10-28 06:45:57,"Back Bi Day",48m,"Bicep Curl (Cable)",2,15.5,10.0,0,0.0,
2024-10-28 06:45:57,"Back Bi Day",48m,"Bicep Curl (Cable)",3,15.5,8.0,0,0.0,
2024-10-28 06:45:57,"Back Bi Day",48m,"Seated Row (Cable)",1,165.0,8.0,0,0.0,
2024-10-28 06:45:57,"Back Bi Day",48m,"Seated Row (Cable)",2,121.0,10.0,0,0.0,
2024-10-28 06:45:57,"Back Bi Day",48m,"Seated Row (Cable)",3,121.0,12.0,0,0.0,
2024-10-28 06:45:57,"Back Bi Day",48m,"Reverse Fly (Cable)",1,10.0,12.0,0,0.0,
2024-10-28 06:45:57,"Back Bi Day",48m,"Reverse Fly (Cable)",2,10.0,12.0,0,0.0,
2024-10-28 06:45:57,"Back Bi Day",48m,"Reverse Fly (Cable)",3,10.0,12.0,0,0.0,
2024-10-29 06:45:13,"Leg Day",1h 8m,"Squat (Smith Machine)",1,135.0,12.0,0,0.0,
2024-10-29 06:45:13,"Leg Day",1h 8m,"Squat (Smith Machine)",2,135.0,12.0,0,0.0,
2024-10-29 06:45:13,"Leg Day",1h 8m,"Squat (Smith Machine)",3,135.0,12.0,0,0.0,
2024-10-29 06:45:13,"Leg Day",1h 8m,"Squat (Smith Machine)",4,135.0,12.0,0,0.0,
2024-10-29 06:45:13,"Leg Day",1h 8m,"Leg Extension (Machine)",1,180.0,12.0,0,0.0,
2024-10-29 06:45:13,"Leg Day",1h 8m,"Leg Extension (Machine)",2,200.0,12.0,0,0.0,
2024-10-29 06:45:13,"Leg Day",1h 8m,"Leg Extension (Machine)",3,200.0,11.0,0,0.0,
2024-10-29 06:45:13,"Leg Day",1h 8m,"Leg Extension (Machine)",4,180.0,9.0,0,0.0,
